Date,Close,High,Low,Open,Volume
,GRAVITA.NS,GRAVITA.NS,GRAVITA.NS,GRAVITA.NS,GRAVITA.NS
2022-07-11,239.1200408935547,244.09657897978292,238.4795027892174,241.53441152562215,136119
2022-07-12,233.55223083496094,236.2622250746071,227.63951613027837,236.2622250746071,215479
2022-07-13,245.2298583984375,245.2298583984375,231.63061101536596,231.63061101536596,147485
2022-07-14,257.449462890625,257.449462890625,250.55129546389057,253.26128981010766,70928
2022-07-15,257.8436279296875,269.9154204610043,256.2176373993774,266.0721619147381,191816
2022-07-18,257.2030944824219,267.94452038286363,255.23218954385928,265.8750641826483,100263
2022-07-19,255.77415466308594,260.55360474815785,254.24671549479396,257.00597014513437,65061
2022-07-20,259.2725830078125,262.13038951030484,251.98022480385893,262.13038951030484,114863
2022-07-21,264.1012878417969,278.8830763404049,263.115835275223,278.8830763404049,121089
2022-07-22,262.8201904296875,267.9938159887473,261.24346043505886,264.10126663391014,45254
2022-07-25,269.3734436035156,271.9356260869831,260.258008089719,261.1449093141745,72867
2022-07-26,268.1416320800781,276.9121533420224,266.4170901998342,275.8281495740015,140461
2022-07-27,294.9458923339844,294.9458923339844,267.00834075404595,268.141605003331,400779
2022-07-28,293.96044921875,309.43206447178807,289.47665267066157,300.2673688592379,250637
2022-07-29,286.2246398925781,300.3658567007378,273.51228083821303,297.6066022195404,265735
2022-08-01,295.14300537109375,298.00081142841003,287.8013726738165,292.679374274507,168055
2022-08-02,300.1195373535156,304.209189158069,286.7666684302831,295.63574064977644,175853
2022-08-03,278.341064453125,294.6502909353127,275.38470701899143,278.8830512866003,412968
2022-08-04,275.828125,285.6826491520087,272.47759280304126,280.80467774093705,120236
2022-08-05,281.44525146484375,285.3870616252096,278.9323294434356,279.8685213859725,92509
2022-08-08,276.61651611328125,283.76104641113585,275.9266873654188,283.76104641113585,60764
2022-08-10,277.2077941894531,280.85398070525224,275.97597848460555,276.91217044973996,64418
2022-08-11,286.7174072265625,290.11720019263134,277.8975956198178,279.08015060935116,432618
2022-08-12,299.38043212890625,305.49024914117825,283.366830359409,287.50574253851215,367348
2022-08-16,339.1927490234375,345.69671120556313,305.44100224236803,305.49026283595714,1405557
2022-08-17,327.2687683105469,341.9520039646202,323.2284072057505,337.96093352704696,473338
2022-08-18,334.4625549316406,338.6507278368323,323.6718686671436,326.0862091212573,305456
2022-08-19,323.6225891113281,336.039296400682,317.9069767445194,336.039296400682,228241
2022-08-22,309.2842712402344,323.6225929977251,306.4757256177585,323.12986675075126,209841
2022-08-23,318.1533508300781,323.622600264854,303.86428934696636,307.4611850159214,246665
2022-08-24,319.48370361328125,326.1847683968181,317.9562342367357,319.2866010893325,162141
2022-08-25,316.4780578613281,328.1556757612504,314.5071529018011,321.94733716818945,204138
2022-08-26,311.9942626953125,320.41986941071167,310.4175327049437,318.9909813519581,112139
2022-08-29,312.9797058105469,315.0984225746669,301.10498568029146,303.61790748541995,178431
2022-08-30,318.0547790527344,328.15566669112485,315.3447848082881,317.512792233294,223751
2022-09-01,321.01116943359375,322.9328139431529,316.67518421114977,318.00555117364263,127389
2022-09-02,320.37060546875,329.83095523849966,318.84313608912953,321.25750668105906,163540
2022-09-05,322.3907470703125,324.8051174829438,319.18802676609005,320.37058167709733,150287
2022-09-06,324.41094970703125,333.0829190006773,322.784929150054,323.22839476988804,242401
2022-09-07,324.6573486328125,331.60477695259226,321.15897410072773,323.62260543024183,258256
2022-09-08,328.3034973144531,338.0102105415219,326.6282460935529,326.67750668954665,303095
2022-09-09,325.5442199707031,329.1903759590323,321.45459835437765,329.1411153664202,151266
2022-09-12,319.77935791015625,328.1557047275255,316.3302739265336,328.1557047275255,138284
2022-09-13,315.147705078125,322.09516341500887,313.4724538318591,319.28661770748664,122209
2022-09-14,314.2607727050781,317.26642064920514,308.59442125434475,308.59442125434475,130271
2022-09-15,323.5733337402344,324.9529612227404,317.9562424720598,320.2720618571361,219635
2022-09-16,320.02569580078125,329.929481285721,313.62025462232066,323.5240401072604,215216
