Date,Close,Real,Prediction
2025-06-25,3444.800048828125,0,0
2025-06-26,3441.800048828125,0,0
2025-06-27,3441.10009765625,2,2
2025-06-30,3462.0,0,0
2025-07-01,3429.699951171875,0,2
2025-07-02,3423.300048828125,0,0
2025-07-03,3400.800048828125,2,2
2025-07-04,3419.800048828125,0,0
2025-07-07,3411.699951171875,0,0
2025-07-08,3406.199951171875,0,0
2025-07-09,3383.800048828125,0,0
2025-07-10,3382.0,0,0
