Date,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_signal,MACD_diff,SMA_20,SMA_50,EMA_20,EMA_50
2022-09-21,193.0500030517578,199.8500061035156,192.4499969482422,193.0,81218.0,49.570868170881845,1.4960380977239538,2.627946789305254,-1.1319086915813004,196.20999908447266,187.6789993286133,194.45063726658458,189.9563453921824
2022-09-22,190.3500061035156,197.3999938964844,188.8000030517578,192.5,58479.0,46.35498956008921,1.0108845882447213,2.3045343490931476,-1.2936497608484263,195.87999954223633,187.90699951171874,194.06010096533993,189.97178306713664
2022-09-23,185.3999938964844,190.3000030517578,184.1499938964844,190.25,38933.0,41.09172527362252,0.2243857413596686,1.8885046275464519,-1.6641188861867833,195.29999923706055,188.06199951171874,193.23532886354417,189.79249721730713
2022-09-26,180.25,185.4499969482422,175.10000610351562,185.4499969482422,45569.0,36.45415168065379,-0.8051998853081273,1.349763724975536,-2.154963610283663,194.41499938964844,188.18499938964842,191.99863087653995,189.41828164015783
2022-09-27,176.75,184.9499969482422,175.10000610351562,184.9499969482422,25900.0,33.6727658236851,-1.881881502950307,0.7034346793903675,-2.5853161823406747,193.65749969482422,188.25399932861328,190.5463803168695,188.9214862817203
2022-09-28,173.25,178.85000610351562,172.14999389648438,176.0,25690.0,31.11604493842742,-2.983191813035205,-0.033890619094747,-2.949301193940458,192.40499954223634,188.27999938964842,188.89910600097716,188.30691819224106
2022-09-29,177.64999389648438,179.10000610351562,174.6999969482422,176.89999389648438,20368.0,37.53695241417609,-3.4610486190740914,-0.719322219090616,-2.7417263999834756,191.34499893188476,188.31199920654296,187.82776199102545,187.88899959240746
2022-09-30,178.5,179.89999389648438,175.0,176.10000610351562,30605.0,38.72522134442209,-3.728188950373152,-1.3210955653471235,-2.4070933850260285,190.52499923706054,188.3679992675781,186.93940370616588,187.52080352996012
2022-10-03,175.75,184.0,175.10000610351562,178.6999969482422,22101.0,36.31803740790181,-4.11437366634388,-1.8797511855464748,-2.2346224807974053,189.42249908447266,188.38099914550781,185.87374621034056,187.05920339153033
2022-10-04,180.0500030517578,182.8000030517578,177.0500030517578,179.3000030517578,19401.0,42.35222328251108,-4.027032403601339,-2.309207429157448,-1.7178249744438912,188.64749908447266,188.43899932861328,185.31910400476124,186.78433278997062
2022-10-06,180.1499938964844,183.0500030517578,179.0,181.4499969482422,30784.0,42.488691541167185,-3.9047340545388067,-2.62831275423372,-1.2764213003050866,187.8924987792969,188.44499908447267,184.82680780397297,186.5241626372849
2022-10-07,180.1999969482422,184.3999938964844,179.0,180.8000030517578,29724.0,42.56191832683171,-3.7604290184716547,-2.854736007081307,-0.9056930113903476,187.0799987792969,188.2609991455078,184.38615915104623,186.27615613967538
2022-10-10,180.75,181.75,176.75,179.6999969482422,15444.0,43.415349751343534,-3.5606407380113296,-2.9959169532673116,-0.5647237847440181,186.47249908447264,188.3259991455078,184.03985827951803,186.05944413419792
2022-10-11,176.10000610351562,181.9499969482422,175.5,181.6499938964844,21723.0,38.24190108545145,-3.7344740400709497,-3.1436283706280395,-0.5908456694429103,185.1074996948242,188.3889993286133,183.28368188180352,185.66887793691626
2022-10-12,174.1999969482422,179.8000030517578,172.75,177.14999389648438,25634.0,36.33657704166542,-3.979677795779679,-3.3108382556583678,-0.6688395401213114,183.82749938964844,188.40299926757814,182.41856903098815,185.21911789814473
2022-10-13,180.6999969482422,182.8500061035156,172.8000030517578,174.0,42166.0,46.2101060905386,-3.607918028363116,-3.3702542101993176,-0.23766381816379845,183.01749954223632,188.52899932861328,182.25489549929807,185.0418974687368
2022-10-14,177.8000030517578,182.5500030517578,177.0,179.5,22577.0,43.005498757080964,-3.5068759228034594,-3.3975785527201463,-0.10929737008331308,181.97999954223633,188.49899932861328,181.83062002810374,184.75790160924743
2022-10-17,184.5,187.0,176.4499969482422,178.60000610351562,46125.0,51.392444636031954,-2.8532747909775367,-3.288717800371624,0.43544300939408753,181.55499954223632,188.4859994506836,182.08484669209383,184.7477878206495
2022-10-18,184.25,186.9499969482422,181.5,185.0,36809.0,51.09033835890614,-2.3286212000486444,-3.0966984803070283,0.768077280258384,181.12749938964845,188.39999938964843,182.29105176903727,184.72826672964365
