Date,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_signal,MACD_diff,SMA_20,SMA_50,EMA_20,EMA_50
2022-11-28,6604.26220703125,6654.8364422548775,6587.79253591591,6593.185008171973,145299.0,35.970324800632596,-236.16259077530867,-274.506235117114,38.343644341805316,6696.148876953125,7452.190888671875,6773.990674652831,7287.031208488312
2022-11-29,6589.49267578125,6636.277565939944,6582.302554898641,6603.338699393133,112717.0,35.482225091830855,-223.51411798579102,-264.3078116908494,40.79369370505839,6685.747314453125,7411.31353515625,6756.419436665062,7259.67675622529
2022-11-30,6811.51513671875,6850.138256676608,6588.764187024692,6616.942060704638,489300.0,47.10245211760258,-193.34598295641717,-250.11544594396298,56.76946298754581,6688.392626953125,7377.887763671875,6761.666646193985,7242.101790754446
2022-12-01,6871.17431640625,6991.027538023021,6850.1381713776655,6888.809683619257,409392.0,49.72287117487843,-162.7474698619635,-232.64185072756308,69.89438086559957,6694.633032226562,7346.3139453125,6772.095948118962,7227.55561528981
2022-12-02,6834.5439453125,6880.891407951753,6752.973663586136,6871.174899083283,202824.0,48.14583148124691,-139.84168470584336,-214.08181752321914,74.24013281737578,6701.497778320312,7310.02083984375,6778.043376423108,7212.143392937759
2022-12-05,6764.05029296875,6847.51500807851,6752.973567903423,6840.42214648059,122569.0,45.17628377801027,-125.92534456016983,-196.45052293060928,70.52517837043945,6704.089672851563,7273.951220703125,6776.710701808408,7194.571114507602
2022-12-06,6689.47607421875,6753.021946295095,6684.9579925563285,6752.973553527105,108351.0,42.21027022844012,-119.53612292683556,-181.06764292985454,61.53152000301898,6699.62978515625,7233.0252734375,6768.402642037964,7174.763465868824
2022-12-07,6642.8857421875,6733.540579258229,6628.602284516542,6688.844638905288,120687.0,40.42460441893461,-116.8846951661526,-168.23105337711416,51.34635821096157,6691.720556640625,7193.76283203125,6756.4486515760145,7153.905515920537
2022-12-08,6636.71533203125,6692.196689232215,6628.601952724644,6646.091667639485,81118.0,40.18215664324743,-113.9675728571001,-157.37835727311136,43.41078441601127,6687.08818359375,7160.640224609375,6745.045478286037,7133.62354792488
2022-12-09,6554.513671875,6674.075118288782,6540.279081917805,6669.945602207476,147894.0,36.998624475555935,-116.94069980284712,-149.2908257790585,32.35012597621139,6676.55791015625,7129.728125,6726.899591961176,7110.913356707238
2022-12-12,6502.53076171875,6553.785346900216,6490.628038145804,6550.870394188474,106993.0,35.10452085823077,-122.08420007419772,-143.84950063808637,21.765300563888644,6662.80908203125,7096.105126953125,6705.531131938087,7087.055215727297
2022-12-13,6444.5712890625,6543.096586794409,6437.186647982323,6527.550173757772,189805.0,33.071593783274935,-129.34628272006648,-140.9488570544824,11.60257433441592,6644.928271484375,7061.203447265625,6680.677813568984,7061.8597676227955
2022-12-14,6433.4951171875,6553.202223187044,6423.584088249909,6471.146589494214,195376.0,32.68208394140433,-134.4454861651766,-139.64818287662126,5.202696711444673,6629.131665039063,7023.595693359375,6657.136604389795,7037.218016625334
2022-12-15,6364.65283203125,6498.109162608208,6359.454405429337,6456.619484198312,207197.0,30.293894905848475,-142.4001385501315,-140.1985740113233,-2.201564538808185,6614.904248046875,6989.351796875,6629.281007022315,7010.842911347134
2022-12-16,6247.1318359375,6359.260248347018,6219.537046880362,6349.835519831982,244998.0,26.70619693099559,-156.38451673328564,-143.43576255571577,-12.948754177569867,6592.303637695312,6949.32173828125,6592.88584787138,6980.893457409502
2022-12-19,6173.189453125,6257.383382887413,6155.408431488374,6247.715266688279,171823.0,24.722328802306336,-171.45731631215858,-149.04007330700432,-22.417243005154262,6567.893359375,6906.1289453125,6552.9147626574395,6949.218790574816
2022-12-20,6135.24658203125,6212.735739875332,6121.400556961931,6173.869704593034,186161.0,23.747474709990257,-184.3393419804379,-156.09992704169105,-28.239414938746847,6542.99482421875,6862.680615234375,6513.1368406930405,6917.298311808401
2022-12-21,6026.76171875,6193.302581255892,6005.968485235069,6175.42430032078,186139.0,21.17634026450139,-200.98542705944237,-165.07702704524132,-35.90840001420105,6517.236376953125,6816.398955078125,6466.81540050799,6882.375308159052
2022-12-22,5879.2646484375,6090.307398347229,5854.196246815899,6063.101175125512,278555.0,18.278658986099344,-223.50294745043448,-176.76221112627996,-46.74073632415451,6489.660913085938,6768.611201171875,6410.858186025085,6843.037635228796
2022-12-23,5672.10888671875,5849.289507540193,5659.865991574522,5844.479646235322,355787.0,15.144309072129772,-255.12308319358544,-192.43438553974107,-62.68869765384437,6443.879125976562,6719.580712890625,6340.501109900672,6797.118860777421
2022-12-26,6075.392578125,6111.6838321752175,5547.203082415211,5674.440950700043,619866.0,37.58326028121891,-244.81852945346327,-202.91121432248553,-41.907315130977736,6417.43564453125,6679.544814453125,6315.252678302989,6768.815869300855
2022-12-27,6249.31787109375,6310.872045128389,6133.059945935395,6169.691371446333,471338.0,44.41058348939606,-220.08082404186098,-206.34513626636064,-13.735687775500338,6400.426904296875,6640.02,6308.973172854489,6748.44339878293
2022-12-28,6152.5419921875,6235.08392726795,6129.125584665683,6184.60647241188,203048.0,41.67875644771053,-205.91140046641067,-206.25838910637066,0.34698863995998863,6367.478247070312,6611.82755859375,6294.074965171919,6725.074716171344
2022-12-29,6079.0361328125,6116.541949583344,6051.4413442422665,6101.967187193551,137789.0,39.682110762228945,-198.32714684072835,-204.67214065324222,6.344993812513877,6327.871337890625,6593.4001953125,6273.595076375784,6699.739869765115
2022-12-30,6107.7001953125,6257.431691387043,6076.704627008473,6157.3516503602,206310.0,40.871659949034765,-187.83833748339111,-201.30538001927204,13.467042535880921,6291.529150390625,6573.417216796875,6257.795563893566,6676.522627629719
2023-01-02,6121.7890625,6207.682904745271,6083.700632959545,6138.258734565213,181854.0,41.48252442209786,-176.35610328267467,-196.31552467195257,19.959421389277907,6259.416088867188,6552.539345703125,6244.842563760845,6654.768370173651
2023-01-03,6234.7431640625,6263.261210630699,6097.108919749866,6141.804857647634,206183.0,46.27475999967899,-156.33971108302285,-188.32036195416666,31.98065087114381,6236.679443359375,6536.125244140625,6243.880716170527,6638.29679346341
2023-01-04,6188.978515625,6294.791673318703,6171.926232889976,6265.933453140622,122264.0,44.67828586276568,-142.52644457878887,-179.1615784790911,36.635133900302236,6213.98408203125,6517.863056640625,6238.651935166192,6620.676468842295
2023-01-05,6109.20654296875,6215.505054835588,6092.2510452602055,6203.9425041988725,125426.0,41.96080550582691,-136.44342796168257,-170.61794837560942,34.17452041392684,6187.608642578125,6500.39375,6226.323802575959,6600.618824690391
2023-01-06,6018.30810546875,6135.975118302116,6009.660507790751,6135.975118302116,117274.0,39.046451823918446,-137.37377829914294,-163.96911436031613,26.595336061173185,6160.798364257813,6484.279892578125,6206.512783803843,6577.783110211111
